,date,Positive Sentiment,Neutral Sentiment,Negative Sentiment,# Of Words,# Of StopWords,Average Word Length,# Of Times Currency Was Mentioned,# Of Organizations Mentioned
0,2021-02-04,0.09904791876750585,0.8279498795518272,0.06880492156862611,9.693277310924369,3.5945378151260505,5.54220804183104,0.0028011204481792717,0.12394957983193278
1,2021-02-05,0.09655758198614166,0.8178020007698502,0.07987551886066047,9.768283294842186,3.815242494226328,5.522546821552756,0.001924557351809084,0.08083140877598152
2,2021-02-06,0.09072797957721102,0.8314492264421519,0.07316581547832167,10.111429595127195,3.90935148692225,5.433466298541787,0.002866356144750985,0.10677176639197421
3,2021-02-07,0.11653328962817941,0.8139696888454004,0.06751763405088085,11.297455968688846,4.1154598825831705,5.487114695499723,0.005870841487279843,0.09001956947162426
4,2021-02-08,0.11587556445993044,0.8182832299651561,0.05537730662020876,10.170731707317072,3.3484320557491287,5.348628892926526,0.003484320557491289,0.13937282229965156
5,2021-02-09,0.10402802702702685,0.8329401891891886,0.06303478378378378,8.972972972972974,3.02027027027027,5.607147619647619,0.0,0.10810810810810811
6,2021-02-10,0.07821271171171156,0.8630730720720711,0.05872172072072063,8.756756756756756,2.9774774774774775,5.6413080885931555,0.0,0.13963963963963963
7,2021-02-11,0.08258679881656784,0.8809181597633122,0.030580881656804802,8.828402366863905,2.8224852071005917,5.416123822247533,0.011834319526627219,0.21893491124260356
8,2021-02-12,0.10225798324022337,0.8270456927374292,0.07069932402234612,9.12290502793296,2.9441340782122905,5.527052418224781,0.0,0.12849162011173185
9,2021-02-13,0.09787392817679537,0.8323545911602204,0.06977448066298335,9.497237569060774,3.0994475138121547,5.613641277004641,0.0,0.20441988950276244
10,2021-02-14,0.11022934645669272,0.82163879527559,0.06811123622047245,9.566929133858268,3.3070866141732282,5.683120291781709,0.0,0.10236220472440945
11,2021-02-15,0.10592407692307701,0.8502009999999995,0.04389330769230769,8.830769230769231,2.876923076923077,5.652760061575853,0.015384615384615385,0.2153846153846154
12,2021-02-16,0.1371343333333332,0.8174565555555546,0.04541211111111111,8.3,2.411111111111111,5.640154320987654,0.011111111111111112,0.2222222222222222
13,2021-02-17,0.12391912865497084,0.8104512923976599,0.06563257894736828,9.543859649122806,3.0350877192982457,5.5531822782466875,0.005847953216374269,0.1871345029239766
14,2021-02-18,0.10964997959183682,0.8198336530612237,0.07051936734693863,10.23265306122449,3.1551020408163266,5.5566221861640965,0.00816326530612245,0.20816326530612245
15,2021-02-19,0.11146209510086451,0.8166609423631116,0.06900100000000015,10.014409221902017,3.4610951008645534,5.66725237092978,0.0,0.19020172910662825
16,2021-02-20,0.11955791056910589,0.8197570975609749,0.06069205691056879,9.825203252032521,3.317073170731707,5.280347488290082,0.0,0.16666666666666666
17,2021-02-21,0.10832599999999981,0.8429759999999987,0.048701000000000064,10.19375,3.54375,5.342230375625288,0.00625,0.225
18,2021-02-22,0.10891466906474798,0.8288139496402867,0.06225999280575546,8.237410071942445,2.7697841726618706,5.781726794623537,0.0,0.1366906474820144
19,2021-02-23,0.1051278656716419,0.8296726417910438,0.061467417910447554,9.302238805970148,3.003731343283582,5.285169159731847,0.0,0.13059701492537312
20,2021-02-24,0.13300933333333345,0.8036051666666659,0.06337599999999975,9.0375,2.783333333333333,5.423733563889814,0.0,0.20833333333333334
21,2021-02-25,0.11455879816513694,0.8244046697247694,0.05553494495412868,8.706422018348624,3.1211009174311926,5.453842096601098,0.003669724770642202,0.10458715596330276
22,2021-02-26,0.11292312389380466,0.8200186991150429,0.05999923008849564,10.34867256637168,3.5982300884955754,5.322985442476661,0.005309734513274336,0.14690265486725665
23,2021-02-27,0.10003803703703726,0.8368932558922549,0.05969123569023549,9.686868686868687,3.2525252525252526,5.253194359886282,0.003367003367003367,0.11447811447811448
24,2021-02-28,0.10436834693877532,0.8348649455782304,0.06075610204081629,9.891156462585034,3.503401360544218,5.560777606102369,0.006802721088435374,0.08843537414965986
25,2021-03-01,0.09570203092783497,0.8700525463917517,0.0342174948453609,9.77319587628866,3.2989690721649483,5.47656541399759,0.0,0.18556701030927836
